train/std,time/time_elapsed,train/reward_min,time/fps,train/n_updates,train/reward_max,time/total_timesteps,train/policy_loss,train/learning_rate,train/reward_mean,time/iterations,train/entropy_loss,train/reward,train/value_loss,train/explained_variance
1.0222647190093994,118,-4.8821654,261,6199,2.646963,31000,22.894100189208984,0.0007,-0.6546852,6200,-40.29712677001953,-1.1494514,0.93724524974823,0.0
1.0230457782745361,120,-1.6611943,261,6299,11.052176,31500,132.41903686523438,0.0007,3.8490016,6300,-40.318885803222656,11.052176,13.466272354125977,-1.1920928955078125e-07
1.0231887102127075,122,0.17141348,261,6399,1.9095066,32000,47.75182342529297,0.0007,0.8348436,6400,-40.32316207885742,1.9095066,2.5819897651672363,-1.733686923980713
1.0262352228164673,124,-2.834126,261,6499,2.6386502,32500,17.072818756103516,0.0007,-0.68551886,6500,-40.41010284423828,-2.834126,5.359256267547607,0.0
1.0269407033920288,126,-1.8119105,261,6599,2.0532076,33000,-54.499229431152344,0.0007,-0.3270239,6600,-40.42424392700195,-1.8119105,11.32126522064209,0.035062313079833984
1.0258190631866455,127,-11.353734,261,6699,14.291486,33500,-1007.1822509765625,0.0007,1.6371994,6700,-40.38920974731445,-11.353734,856.2376708984375,0.0
1.0258591175079346,129,-0.889346,261,6799,6.4446373,34000,-215.05551147460938,0.0007,0.96347874,6800,-40.3952751159668,-0.077848196,43.03682327270508,0.0
1.026026725769043,131,-4.284564,261,6899,12.132296,34500,-368.8422546386719,0.0007,6.3957014,6900,-40.39756393432617,3.8106582,169.90293884277344,0.00028771162033081055
1.028487205505371,133,-0.29716218,261,6999,2.2473648,35000,51.063079833984375,0.0007,0.80578196,7000,-40.45873260498047,-0.13691026,1.7313549518585205,-1.1920928955078125e-07
1.025834321975708,135,-0.48859468,261,7099,2.361469,35500,35.56831741333008,0.0007,0.8026945,7100,-40.39033126831055,0.45824358,1.6823745965957642,0.0
1.0252546072006226,137,0.39878657,261,7199,4.5685487,36000,-326.0625,0.0007,1.7663769,7200,-40.36708450317383,0.44867477,83.28132629394531,0.0
1.024597406387329,139,-4.724235,261,7299,9.460979,36500,-250.6641082763672,0.0007,2.3204427,7300,-40.35142517089844,2.3579872,50.66417694091797,0.0
1.02430260181427,141,-5.8091965,261,7399,3.5350876,37000,12.983301162719727,0.0007,-1.4363296,7400,-40.34674072265625,-5.8091965,20.500173568725586,0.0
1.0254827737808228,143,-11.885477,261,7499,3.3447604,37500,292.224853515625,0.0007,-2.1690497,7500,-40.369598388671875,-11.885477,61.0509147644043,1.1920928955078125e-07
1.0263662338256836,145,-1.6726587,262,7599,4.696789,38000,-208.28890991210938,0.0007,1.4446434,7600,-40.39604949951172,2.3668482,25.21990966796875,-1.1920928955078125e-07
1.0264233350753784,146,-1.8720113,262,7699,3.5448315,38500,-171.49282836914062,0.0007,0.18080023,7700,-40.39509201049805,0.07006081,19.207433700561523,0.0
1.0269232988357544,148,-1.0156866,262,7799,2.9660234,39000,-8.775793075561523,0.0007,0.7077502,7800,-40.410682678222656,-1.0156866,4.440800666809082,0.0
1.0282998085021973,151,-2.708423,260,7899,5.2496524,39500,119.5941390991211,0.0007,0.91126674,7900,-40.44745635986328,5.2496524,59.660308837890625,-1.1920928955078125e-07
1.026833176612854,156,-6.5608845,256,7999,7.0232663,40000,-339.851318359375,0.0007,-0.082076415,8000,-40.41105651855469,-6.5608845,103.50505065917969,0.0
1.0273590087890625,158,-22.135847,256,8099,27.680176,40500,305.31292724609375,0.0007,0.5015957,8100,-40.42035675048828,27.680176,93.16908264160156,1.1920928955078125e-07
1.0270110368728638,161,-1.2719687,254,8199,1.4029479,41000,-153.8657684326172,0.0007,0.2291838,8200,-40.41660690307617,0.1801368,13.672106742858887,0.004021048545837402
1.0274865627288818,165,-2.7228703,251,8299,3.7355847,41500,17.11954689025879,0.0007,-0.020107603,8300,-40.43162536621094,-1.6394207,1.482311487197876,-1.1920928955078125e-07
1.0280365943908691,168,-7.8999877,249,8399,1.9066765,42000,-171.67837524414062,0.0007,-3.1092405,8400,-40.432716369628906,-1.6113902,23.173418045043945,-1.1920928955078125e-07
1.0288599729537964,171,0.6998845,248,8499,7.082169,42500,-271.3498229980469,0.0007,2.356075,8500,-40.46778869628906,2.305009,45.81436538696289,0.0
1.0278816223144531,173,-31.010077,247,8599,26.592478,43000,-13.511034965515137,0.0007,5.0824027,8600,-40.432289123535156,-31.010077,68.49476623535156,0.0
1.029434323310852,177,-0.2811865,245,8699,3.0156693,43500,36.96296691894531,0.0007,1.1570816,8700,-40.472293853759766,1.3148593,1.9037059545516968,0.0
1.0309995412826538,179,-2.0563905,244,8799,0.94387996,44000,-61.3692512512207,0.0007,-0.32434288,8800,-40.524986267089844,0.3794666,2.471644163131714,2.2649765014648438e-06
1.0310990810394287,183,-1.5389341,242,8899,0.47344202,44500,146.8770294189453,0.0007,-0.12245454,8900,-40.52524948120117,0.47344202,13.092489242553711,-1.1920928955078125e-07
1.0305118560791016,186,-1.5353886,241,8999,5.6054516,45000,65.74229431152344,0.0007,1.0815483,9000,-40.51725387573242,-0.5862927,15.495031356811523,-0.00041878223419189453
1.0309333801269531,188,-2.5699255,241,9099,1.7038468,45500,160.0436248779297,0.0007,0.29751274,9100,-40.52088928222656,0.10945637,15.299365043640137,0.0
1.0316213369369507,192,-19.408747,239,9199,2.6822364,46000,89.85032653808594,0.0007,-5.9538383,9200,-40.540836334228516,-0.8421259,9.456007957458496,-1.1920928955078125e-07
1.0301835536956787,196,-2.4447043,236,9299,2.0511746,46500,-105.1429443359375,0.0007,0.26680323,9300,-40.490989685058594,0.94573396,10.61277961730957,0.0
1.0315440893173218,200,-3.2537267,234,9399,4.0354185,47000,39.4137077331543,0.0007,1.1375624,9400,-40.528507232666016,0.835101,9.887212753295898,-1.1920928955078125e-07
1.0328034162521362,202,-0.44836447,235,9499,4.1436744,47500,-1.8637679815292358,0.0007,1.6629732,9500,-40.55995559692383,1.0892879,1.5015151500701904,0.0
1.0351002216339111,204,-2.3263257,235,9599,4.2386475,48000,-205.5989227294922,0.0007,0.88155055,9600,-40.61903381347656,0.57758397,28.455913543701172,-1.1920928955078125e-07
1.0370943546295166,206,0.18441164,235,9699,2.6948283,48500,140.1573028564453,0.0007,1.3029003,9700,-40.67387008666992,0.2948311,16.134992599487305,-1.1920928955078125e-07
1.0385793447494507,210,-7.1381636,232,9799,7.652492,49000,174.55062866210938,0.0007,0.7520152,9800,-40.714271545410156,7.652492,92.44291687011719,0.0
1.038033366203308,212,-0.7405792,232,9899,0.680002,49500,-15.20806884765625,0.0007,-0.10995236,9900,-40.696983337402344,-0.57717764,0.471099853515625,1.1920928955078125e-07
1.0397849082946777,214,-0.79318345,232,9999,2.052646,50000,47.544403076171875,0.0007,0.3508188,10000,-40.741180419921875,0.37067837,2.7757439613342285,0.0
