time/time_elapsed,train/reward_max,train/reward_mean,train/std,time/fps,train/value_loss,time/total_timesteps,train/entropy_loss,train/policy_loss,train/reward,time/iterations,train/reward_min,train/explained_variance,train/n_updates,train/learning_rate
126,,,1.0473213195800781,260,4.052566051483154,33000,-42.46050262451172,-71.21223449707031,-0.28835788,6600,,5.960464477539063e-08,6599,0.0007
128,,,1.0479577779769897,260,559.8854370117188,33500,-42.472801208496094,-890.3631591796875,-6.4794407,6700,,0.0,6699,0.0007
130,,,1.048783540725708,260,96.95183563232422,34000,-42.493125915527344,-378.70196533203125,2.135279,6800,,0.0,6799,0.0007
132,,,1.0495704412460327,260,161.34254455566406,34500,-42.516265869140625,439.8681640625,-0.19361685,6900,,-1.1920928955078125e-07,6899,0.0007
134,,,1.0504814386367798,260,1.3266370296478271,35000,-42.533897399902344,46.08926773071289,-0.35603783,7000,,0.0,6999,0.0007
136,,,1.052206039428711,260,1.563988447189331,35500,-42.59185791015625,35.47475051879883,0.95944613,7100,,0.0,7099,0.0007
138,,,1.051398515701294,260,31.840423583984375,36000,-42.564144134521484,-234.3789825439453,0.6060284,7200,,0.0,7199,0.0007
140,,,1.0504605770111084,260,6.471314430236816,36500,-42.55434036254883,46.1075553894043,0.67072374,7300,,1.1920928955078125e-07,7299,0.0007
141,,,1.0499775409698486,260,93.10012817382812,37000,-42.52294921875,362.3138732910156,-6.4794655,7400,,5.960464477539063e-08,7399,0.0007
143,,,1.0508819818496704,261,1.7041057348251343,37500,-42.55158996582031,-25.95114517211914,0.312385,7500,,0.0,7499,0.0007
145,,,1.0505061149597168,261,8.779876708984375,38000,-42.546775817871094,-123.80528259277344,1.4284092,7600,,1.1920928955078125e-07,7599,0.0007
147,,,1.0505375862121582,261,12.375373840332031,38500,-42.548736572265625,-146.48365783691406,0.907578,7700,,0.004144608974456787,7699,0.0007
149,,,1.0521219968795776,261,0.6196175813674927,39000,-42.58671569824219,3.2895965576171875,0.700142,7800,,1.1920928955078125e-07,7799,0.0007
150,,,1.051106333732605,261,55.15937423706055,39500,-42.56754684448242,228.8612060546875,3.5564156,7900,,-1.1920928955078125e-07,7899,0.0007
152,,,1.0517808198928833,261,30.123193740844727,40000,-42.577430725097656,-205.1975860595703,-3.9331224,8000,,0.0,7999,0.0007
154,,,1.051789402961731,261,329.33636474609375,40500,-42.57742691040039,737.939453125,11.122008,8100,,0.0,8099,0.0007
156,,,1.0539871454238892,261,0.6293252110481262,41000,-42.63524627685547,27.63755226135254,-0.039276615,8200,,0.0,8199,0.0007
158,,,1.0552663803100586,261,4.644553184509277,41500,-42.674842834472656,-92.43603515625,-2.0378048,8300,,0.0,8299,0.0007
160,,,1.057690143585205,261,11.47896671295166,42000,-42.734378814697266,-130.1909942626953,-1.2835613,8400,,0.0,8399,0.0007
162,,,1.0597068071365356,261,23.525676727294922,42500,-42.791778564453125,-195.78231811523438,0.1429717,8500,,0.0,8499,0.0007
164,,,1.0590275526046753,262,80.34667205810547,43000,-42.776031494140625,291.66058349609375,-18.302702,8600,,-1.1920928955078125e-07,8599,0.0007
165,,,1.058253526687622,262,1.5636292695999146,43500,-42.75068283081055,9.367696762084961,0.7852857,8700,,0.0018529891967773438,8699,0.0007
167,,,1.058474063873291,262,2.087862491607666,44000,-42.75001525878906,-55.30760955810547,0.315305,8800,,0.0,8799,0.0007
169,,,1.0591368675231934,261,1.8504016399383545,44500,-42.77531814575195,16.2603816986084,1.6856958,8900,,0.0,8899,0.0007
171,,,1.0601361989974976,261,3.4726192951202393,45000,-42.7979621887207,19.39217758178711,-0.96377355,9000,,0.0,8999,0.0007
173,,,1.0625005960464478,261,0.6682494282722473,45500,-42.871673583984375,13.537094116210938,1.4531014,9100,,0.0,9099,0.0007
176,,,1.0648614168167114,261,12.306343078613281,46000,-42.93334197998047,54.28361892700195,7.558149,9200,,-1.1920928955078125e-07,9199,0.0007
178,,,1.0670968294143677,260,18.39238929748535,46500,-42.99751281738281,-191.65261840820312,0.4806939,9300,,-0.0062400102615356445,9299,0.0007
180,,,1.068146824836731,259,18.100862503051758,47000,-43.016502380371094,176.1053009033203,-0.34679785,9400,,-0.0003821849822998047,9399,0.0007
183,,,1.0675357580184937,259,11.943429946899414,47500,-43.00321960449219,132.65646362304688,0.19660202,9500,,-1.1920928955078125e-07,9499,0.0007
184,,,1.0675867795944214,259,87.38267517089844,48000,-43.00511932373047,-420.7972717285156,-0.52843106,9600,,0.0,9599,0.0007
186,,,1.0714949369430542,259,6.709105014801025,48500,-43.106624603271484,101.04974365234375,1.3275222,9700,,-1.1920928955078125e-07,9699,0.0007
188,,,1.0729717016220093,259,41.36800765991211,49000,-43.1348762512207,66.79997253417969,8.091926,9800,,1.1920928955078125e-07,9799,0.0007
190,,,1.0744572877883911,259,0.3186606764793396,49500,-43.18019485473633,18.95244026184082,0.20317729,9900,,-0.0004374980926513672,9899,0.0007
193,,,1.0735886096954346,258,1.7450332641601562,50000,-43.16221237182617,32.35679244995117,-0.62853116,10000,,0.0,9999,0.0007
